departamento;municipio;numero_contratos;inversion_publica_total
Cesar;Valledupar;32193;
Santander;Tona;19;
Risaralda;Pereira;84870;
Antioquia;El Bagre;3412;
La Guajira;Maicao;1833;
Cundinamarca;Chía;12483;
Valle del Cauca;Jamundí;9626;
Norte de Santander;Pamplona;3632;
Tolima;Honda;5058;
Boyacá;Firavitoba;473;
Boyacá;Cómbita;607;
Huila;Pitalito;7860;
Cundinamarca;Sibaté;4153;
Atlántico;Sabanalarga;3030;
Valle del Cauca;Buenaventura;6828;
Antioquia;Abejorral;1005;
Magdalena;Ciénaga;5732;
Antioquia;Carepa;1756;
Antioquia;San Jerónimo;1467;
Boyacá;Santa María;370;
Antioquia;Yolombó;958;
Santander;Ocamonte;13;
Caquetá;Valparaíso;566;
Tolima;Herveo;852;
Antioquia;Buriticá;526;
Cundinamarca;Anolaima;740;
Cundinamarca;Caparrapí;390;
Antioquia;Briceño;315;
Boyacá;Cerinza;314;
Atlántico;Repelón;122;
Santander;Sucre;517;
Caldas;La Merced;248;
Cauca;Miranda;35;
Santander;Encino;30;
Atlántico;Candelaria;232;
Tolima;Piedras;39;
Bolívar;Mahates;36;
Sucre;Galeras;42;
La Guajira;Albania;48;
Nariño;El Peñol;10;
Cundinamarca;Cachipay;2;
Huila;Santa María;14;
Casanare;Trinidad;5;
Huila;Tesalia;4;
Bolívar;Norosí;11;
Boyacá;Güicán;21;
Sucre;Chalán;8;
Bolívar;Pinillos;4;
Cundinamarca;Bituima;7;
Valle del Cauca;Trujillo;8;
Nariño;Roberto Payán;5;
Bolívar;San Cristóbal;2;
Caquetá;Florencia;11589;
Antioquia;Sonson;1750;
Boyacá;Chivor;17;
Antioquia;Andes;2567;
No Definido;No Definido;112918;
Risaralda;Dosquebradas;13439;
Antioquia;La Estrella;9664;
Atlántico;Baranoa;623;
Santander;Barrancabermeja;8660;
Vichada;Puerto Carreño;9072;
Antioquia;Apartadó;10076;
Magdalena;Zona Bananera;1300;
Antioquia;Retiro;5075;
Huila;Paicol;571;
Boyacá;Tasco;444;
Antioquia;Yarumal;2450;
Antioquia;Puerto Triunfo;2118;
Caldas;La Dorada;7440;
Cesar;Bosconia;1380;
Norte de Santander;Tibú;3845;
Tolima;Ataco;101;
Caldas;Victoria;1552;
Casanare;Yopal;63617;
Norte de Santander;Durania;328;
Sucre;Corozal;1406;
Cundinamarca;Sopó;3437;
Casanare;La Salina;566;
Cundinamarca;Agua De Dios;941;
Tolima;Murillo;112;
Boyacá;Samacá;1527;
Huila;Baraya;647;
Putumayo;Puerto Guzmán;48;
Santander;Guapotá;302;
Boyacá;Tópaga;137;
Boyacá;Cucaita;446;
Cesar;San Martín;1150;
Vichada;No Definido;555;
Cundinamarca;Simijaca;734;
Valle del Cauca;Ansermanuevo;326;
Boyacá;Campohermoso;42;
Huila;Altamira;716;
Cesar;González;376;
Valle del Cauca;Calima;928;
Córdoba;Sahagún;410;
Valle del Cauca;Restrepo;421;
Boyacá;Rondón;41;
Boyacá;Iza;421;
Cauca;Florencia;706;
Norte de Santander;Gramalote;26;
Caquetá;El Paujil;269;
Boyacá;San José De Pare;48;
Boyacá;Chitaraque;496;
Norte de Santander;Convención;23;
Valle del Cauca;Toro;400;
Huila;Algeciras;242;
Antioquia;Tarazá;333;
Chocó;Condoto;185;
Atlántico;Santo Tomás;313;
Boyacá;Pachavita;44;
Valle del Cauca;El Águila;6;
La Guajira;Distracción;15;
Meta;Puerto Rico;110;
Sucre;Majagual;1;
Antioquia;San José De La Montaña;15;
Cundinamarca;Vianí;5;
Vichada;Santa Rosalía;18;
Cundinamarca;Fosca;11;
Cauca;Paez;4;
Sucre;La Unión;2;
Magdalena;El Retén;11;
Santander;San José De Miranda;9;
Sucre;Ovejas;3;
Antioquia;Toledo;2;
Norte de Santander;El Carmen;2;
Antioquia;Armenia;4;
Putumayo;San Francisco;4;
Meta;Lejanías;9;
Nariño;Ancuyá;5;
Caldas;Marulanda;2;
Tolima;Roncesvalles;3;
Córdoba;San Pelayo;5;
Atlántico;Puerto Colombia;5454;
Distrito Capital de Bogotá;Bogotá;1162429;
Antioquia;Vegachí;536;
Antioquia;Puerto Nare;611;
Cundinamarca;Cota;9344;
Nariño;Pasto;58030;
Cauca;Bolívar;302;
Cundinamarca;Madrid;7146;
Caldas;Villamaría;6423;
Antioquia;Puerto Berrío;2038;
Quindío;No Definido;1527;
Cundinamarca;La Vega;910;
Magdalena;Pivijay;699;
Santander;Socorro;1637;
Boyacá;Boavita;516;
Casanare;Sácama;305;
Quindío;Circasia;3415;
Antioquia;La Pintada;927;
Boyacá;Soatá;772;
