cod_departamento;total_empresas_estimadas
05;2661972.047774707
11;2133010.2087663948
76;1975838.3723028032
52;1620344.371092538
08;1443968.929024154
13;1398960.2408318734
23;1205235.9875894398
68;1163839.2085793817
25;946960.1011779701
47;835785.2299968967
19;754965.4558305623
70;710549.6467878083
20;575995.5984584222
73;550987.2456551088
54;544549.564863208
15;504030.1392122583
44;455907.275887202
41;410470.78078978905
50;367330.2215668226
17;335471.0019868744
66;298650.2997156544
18;179264.78718402225
63;170921.98543160377
27;159491.02692666574
88;12733.234742296832
