divipola_municipio,nombre_municipio,nombre_departamento,region,categoria
05001,Medellín,Antioquia,Andina,Especial
05002,Abejorral,Antioquia,Andina,Sexta
05004,Abriaquí,Antioquia,Andina,Sexta
05021,Alejandría,Antioquia,Andina,Sexta
05030,Amagá,Antioquia,Andina,Sexta
05031,Amalfi,Antioquia,Andina,Sexta
05034,Andes,Antioquia,Andina,Sexta
05036,Angelópolis,Antioquia,Andina,Sexta
05038,Angostura,Antioquia,Andina,Sexta
05040,Anorí,Antioquia,Andina,Sexta
05042,Santafé de Antioquia,Antioquia,Andina,Sexta
05044,Anza,Antioquia,Andina,Sexta
05045,Apartadó,Antioquia,Andina,Segunda
05051,Arboletes,Antioquia,Andina,Sexta
05055,Argelia,Antioquia,Andina,Sexta
05059,Armenia,Antioquia,Andina,Sexta
05079,Barbosa,Antioquia,Andina,Sexta
05086,Belmira,Antioquia,Andina,Sexta
05088,Bello,Antioquia,Andina,Sexta
05091,Betania,Antioquia,Andina,Sexta
05093,Betulia,Antioquia,Andina,Sexta
05101,Ciudad Bolívar,Antioquia,Andina,Sexta
05107,Briceño,Antioquia,Andina,Sexta
05113,Buriticá,Antioquia,Andina,Sexta
05120,Cáceres,Antioquia,Andina,Sexta
05125,Caicedo,Antioquia,Andina,Sexta
05129,Caldas,Antioquia,Andina,Sexta
05134,Campamento,Antioquia,Andina,Sexta
05138,Cañasgordas,Antioquia,Andina,Sexta
05142,Caracolí,Antioquia,Andina,Sexta
05145,Caramanta,Antioquia,Andina,Sexta
05147,Carepa,Antioquia,Andina,Sexta
05148,El Carmen de Viboral,Antioquia,Andina,Sexta
05150,Carolina,Antioquia,Andina,Sexta
05154,Caucasia,Antioquia,Andina,Sexta
05172,Chigorodó,Antioquia,Andina,Sexta
05190,Cisneros,Antioquia,Andina,Sexta
05197,Cocorná,Antioquia,Andina,Sexta
05206,Concepción,Antioquia,Andina,Sexta
05209,Concordia,Antioquia,Andina,Sexta
05212,Copacabana,Antioquia,Andina,Sexta
05234,Dabeiba,Antioquia,Andina,Sexta
05237,Don Matías,Antioquia,Andina,Sexta
05240,Ebéjico,Antioquia,Andina,Sexta
05250,El Bagre,Antioquia,Andina,Sexta
05264,Entrerrios,Antioquia,Andina,Sexta
05266,Envigado,Antioquia,Andina,Segunda
05282,Fredonia,Antioquia,Andina,Sexta
05284,Frontino,Antioquia,Andina,Sexta
05306,Giraldo,Antioquia,Andina,Sexta
05308,Girardota,Antioquia,Andina,Sexta
05310,Gómez Plata,Antioquia,Andina,Sexta
05313,Granada,Antioquia,Andina,Sexta
05315,Guadalupe,Antioquia,Andina,Sexta
05318,Guarne,Antioquia,Andina,Sexta
05321,Guatapé,Antioquia,Andina,Sexta
05347,Heliconia,Antioquia,Andina,Sexta
05353,Hispania,Antioquia,Andina,Sexta
05360,Itagui,Antioquia,Andina,Primera
05361,Ituango,Antioquia,Andina,Sexta
05364,Jardín,Antioquia,Andina,Sexta
05368,Jericó,Antioquia,Andina,Sexta
05376,La Ceja,Antioquia,Andina,Sexta
05380,La Estrella,Antioquia,Andina,Segunda
05390,La Pintada,Antioquia,Andina,Sexta
05400,La Unión,Antioquia,Andina,Sexta
05411,Liborina,Antioquia,Andina,Sexta
05425,Maceo,Antioquia,Andina,Sexta
05440,Marinilla,Antioquia,Andina,Sexta
05467,Montebello,Antioquia,Andina,Sexta
05475,Murindó,Antioquia,Andina,Sexta
05480,Mutatá,Antioquia,Andina,Sexta
05483,Nariño,Antioquia,Andina,Sexta
05490,Necoclí,Antioquia,Andina,Sexta
05495,Nechí,Antioquia,Andina,Sexta
05501,Olaya,Antioquia,Andina,Sexta
05541,Peñol,Antioquia,Andina,Sexta
05543,Peque,Antioquia,Andina,Sexta
05576,Pueblorrico,Antioquia,Andina,Sexta
05579,Puerto Berrío,Antioquia,Andina,Sexta
05585,Puerto Nare,Antioquia,Andina,Sexta
05591,Puerto Triunfo,Antioquia,Andina,Sexta
05604,Remedios,Antioquia,Andina,Segunda
05607,Retiro,Antioquia,Andina,Sexta
05615,Rionegro,Antioquia,Andina,Segunda
05628,Sabanalarga,Antioquia,Andina,Sexta
05631,Sabaneta,Antioquia,Andina,Tercera
05642,Salgar,Antioquia,Andina,Sexta
05647,San Andrés de Cuerquía,Antioquia,Andina,Sexta
05649,San Carlos,Antioquia,Andina,Sexta
05652,San Francisco,Antioquia,Andina,Sexta
05656,San Jerónimo,Antioquia,Andina,Sexta
