anio_key,orden_entidad,HHI_promedio,HHI_mediana,mercados,total_contratos,inversion_total
2018,NACIONAL,2145.838588891238,1280.6183555212604,174,183969,37157895997499
2018,NO_DEFINIDO,1822.4680520634242,663.0156642425663,9,1953,7764624886
2018,OTRO,4080.5545660093153,1792.5815893715678,7,1983,135908763775
2018,TERRITORIAL,1047.5371206225782,614.6295791940041,1068,895886,63520634909784
2019,NACIONAL,2002.9702339667012,1379.6247250934025,186,212493,55250496788128
2019,NO_DEFINIDO,2065.788076607085,1335.696195043607,10,1725,17822006226
2019,OTRO,2128.713182831787,1150.0551746021267,7,1052,87615913947
2019,TERRITORIAL,1291.1855419014923,724.7498037334185,1070,966889,78118136055423
2020,NACIONAL,1752.16324326936,1082.9869263861908,207,155432,36631397635580
2020,NO_DEFINIDO,1966.6997872503027,575.4709107188495,9,1765,9664376886
2020,OTRO,3565.9281108764862,962.9960625999131,6,901,99759076255
2020,TERRITORIAL,881.544768213981,424.95942692964627,1074,968957,63672430085645
2021,NACIONAL,1727.9584003663467,940.8713275234622,210,177179,59528429835305
2021,NO_DEFINIDO,1106.9578399109998,499.8881482027465,10,2088,13383525119
2021,OTRO,1722.7796622157382,877.6268681116072,16,3574,705151937114
2021,TERRITORIAL,994.1577081262908,550.6389009338268,1077,1100656,74172387011044
2022,NACIONAL,2336.494641230271,1377.0031207781199,245,169935,50905464560599
2022,NO_DEFINIDO,3321.926079552024,2139.9569692319974,12,2036,21032198306
2022,OTRO,2898.6507142880714,1319.4620999542167,24,6676,1069174393833
2022,TERRITORIAL,1098.8948770082611,613.0055819242341,1080,914060,114483020031944
2023,NACIONAL,2800.745350585743,1322.8579224932625,203,202271,39619680671875
2023,NO_DEFINIDO,1766.8525065841106,818.639196181348,10,2770,24426909962
2023,OTRO,2241.1918810283937,973.7265001584778,29,6827,1595150562201
2023,TERRITORIAL,1213.1667285978674,737.8873750342138,1079,748330,72173371906306
2024,NACIONAL,2217.4808498982534,983.2046606072835,199,222109,43251450849306
2024,NO_DEFINIDO,441.2691717784556,339.84117094714094,9,4245,35803585895
2024,OTRO,2250.8009749239623,1140.247033247828,34,6847,1033978789751
2024,TERRITORIAL,881.0491558579718,495.34517304465976,1082,721323,62607448347616
2025,NACIONAL,2809.297822262081,1291.6304404568289,215,240476,57536887672194
2025,NO_DEFINIDO,432.8982886811331,339.06587244500724,9,4013,45354401112
2025,OTRO,3531.667433520891,1766.7420476617951,44,7391,1426234946848
2025,TERRITORIAL,1147.4631731205197,645.7241557343082,1086,789752,96174451571824
2026,NACIONAL,2189.690299356922,774.9595073702992,179,133738,20496997412695
2026,NO_DEFINIDO,1558.082721135766,929.135411352307,9,936,12774421042
2026,OTRO,2998.6762272453966,1281.9529480869471,37,4886,5757787724746
2026,TERRITORIAL,1237.9932406438193,679.9223962770777,1067,364432,24245937005879
