divipola_key;numero_contratos;inversion_publica_total
11001;1056498;291929379352005
05001;231121;61063382549400
76001;366992;31576905626097
08001;117462;22851518673932
68001;112831;22027410864446
13001;92473;12315335687451
15001;58333;10114437648958
47001;75101;9563885503474
20001;30658;8404011487854
54001;84009;8319371864841
50001;86131;8096664569595
19001;66683;7899003496364
66001;79095;7698552539240
23001;23855;7502138093490
73001;72462;6904713795555
19110;1090;5621374120520
13836;27838;5556438613314
17001;39098;5047724545991
85001;60022;4753626275638
05360;6857;4688515590929
70001;34713;4357183626788
52001;54197;4172249857878
05266;22398;3688308912377
63001;76823;3512709089934
08758;19528;3412937738332
25754;34462;3145706735556
41001;39916;3114854088348
05615;11292;2925629143765
44001;16938;2884481701207
27001;12509;2379980129559
68276;21624;2376303073430
81001;12989;2372233650886
05088;13793;2235277223075
17877;63;2115432639182
76520;17552;1800615050829
86001;17063;1644622747278
05631;17036;1584256550833
05045;9305;1483040017952
25214;8898;1261151749712
25175;11901;1220416455756
18001;10728;1195531730904
25473;11211;1183642835450
25286;10398;1109063807998
25269;8372;1097048338750
47745;2231;1088726390001
25290;11121;1067289370044
44847;1287;1014576522311
05376;5023;1006613178223
91001;13388;984680323755
15759;11653;977221414803
25817;4820;904370729471
25899;7124;872360136260
76834;10903;824561402844
68547;12375;820034208734
17616;2900;791802333257
05308;4722;696833533935
50006;9006;661504021274
54498;7181;640066228154
63594;2848;633939339779
05321;3035;630184072196
05380;9190;628581647955
05837;1728;623760745329
68307;7671;608154092432
15572;4266;598100630449
25126;6488;597480011570
66170;12233;589471132361
25307;10872;580357818857
05697;5127;575745640189
76109;6288;540314774323
44090;691;521089814210
68679;14407;501930789196
25430;6694;494667096089
05607;4829;493534414749
44430;1670;490279255032
08573;4917;482953313535
73268;9074;476184202835
50568;2543;470174119814
05440;3828;456391083775
76147;4298;425622444447
86568;5886;425172694586
76364;9195;418259420375
76111;13489;412666648477
05318;5208;409246913058
73349;4889;409029564508
15238;5775;408229239833
99001;8518;405822489759
05686;2515;387482084674
05212;3634;384118225808
41551;7530;373520439314
20400;2945;371581803449
73449;9397;370055000702
17380;7051;357223145936
25843;2951;351708992567
05148;2237;348545472740
15047;717;342417777255
76130;11400;341361445133
05250;2891;336791743672
52356;4606;325954491965
05147;1659;319017368845
05129;6027;316097777043
05154;4393;313682297828
05887;2284;310443366782
15776;359;303926201056
