anio_firma;nombre_departamento;HHI_Promedio;Total_Municipios;Suma_Inversion;Total_Contratos
2018.0;antioquia;2720.02;24;52023040921;2020
2018.0;bolívar;212.35;1;8242897663;602
2018.0;boyacá;1319.956;5;3838679437;365
2018.0;cundinamarca;893.0559999999999;5;14381498945;586
2018.0;córdoba;2291.56;1;1289306849;33
2018.0;guaviare;8264.39;1;3867424557;45
2018.0;la guajira;5126.36;2;837436084;72
2018.0;nariño;1113.505;2;3509193768;77
2018.0;santander;3311.9750000000004;2;1792912699;146
2018.0;sucre;3993.5;1;5180274567;17
2018.0;tolima;1456.1799999999998;5;27587696429;326
2019.0;antioquia;2424.851739130435;23;97370189298;2257
2019.0;bolívar;1263.8;1;23507248759;424
2019.0;boyacá;1980.506;5;3747266645;218
2019.0;cundinamarca;687.582;5;8014683577;655
2019.0;córdoba;1611.44;1;893921757;21
2019.0;guaviare;271.58;1;769398574;84
2019.0;la guajira;5329.03;2;869580898;28
2019.0;nariño;1156.45;2;1849213700;58
2019.0;santander;2735.5299999999997;2;1899049709;155
2019.0;sucre;1209.06;1;5635790295;33
2019.0;tolima;2799.07;5;49551582220;742
2020.0;antioquia;2407.37;22;230387349232;1726
2020.0;bolívar;2310.41;1;10042518188;648
2020.0;boyacá;2046.054;5;4845536916;349
2020.0;cundinamarca;666.5440000000001;5;6457575181;653
2020.0;córdoba;2598.29;1;1425887420;22
2020.0;distrito capital de bogotá;3473.39;1;112900000;3
2020.0;guaviare;535.97;1;495832382;59
2020.0;la guajira;2710.27;2;863680878;84
2020.0;nariño;2026.335;2;903157511;32
2020.0;putumayo;5503.73;1;1476186034;12
2020.0;santander;1049.125;2;2280499912;182
2020.0;sucre;796.12;1;1410598242;44
2020.0;tolima;832.245;4;10806859969;311
2021.0;antioquia;2412.032608695652;23;82520046641;1563
2021.0;bolívar;8239.6;1;316701201;2
2021.0;boyacá;2472.6875;4;2894714294;145
2021.0;cundinamarca;858.7120000000001;5;8742842432;705
2021.0;córdoba;1462.11;1;1538977729;21
2021.0;distrito capital de bogotá;10000.0;1;3100000000;1
2021.0;guaviare;565.45;1;475540499;62
2021.0;la guajira;182.3;1;1175495623;111
2021.0;nariño;1628.0700000000002;2;2751397998;67
2021.0;putumayo;1672.98;1;273015279;14
2021.0;santander;684.315;2;2706153662;207
2021.0;sucre;3904.4;1;2673976325;36
2021.0;tolima;538.5525;4;23576340833;404
2022.0;antioquia;3027.5655555555554;18;33617534772;929
2022.0;boyacá;2977.8866666666668;3;3608759344;107
2022.0;cundinamarca;686.3566666666667;3;5745701204;313
2022.0;distrito capital de bogotá;7584.885;2;46049129;3
2022.0;guaviare;410.4;1;348845471;44
2022.0;la guajira;518.5;1;1130874938;138
2022.0;nariño;3096.7;2;12773643751;157
2022.0;santander;4330.303333333333;3;2034666750;115
2022.0;sucre;1299.49;1;19269874394;50
2022.0;tolima;2380.266666666667;3;20310635215;106
2023.0;antioquia;3046.345;6;22848002147;544
2023.0;cundinamarca;755.79;1;10005263129;188
2023.0;distrito capital de bogotá;10000.0;2;381962715;2
2023.0;guaviare;401.13;1;834138300;83
2023.0;la guajira;219.85;1;1152985335;130
2023.0;nariño;1708.18;1;4103997841;37
2023.0;santander;10000.0;1;7800000;1
2023.0;sucre;2123.53;1;7466151431;42
2023.0;tolima;10000.0;1;263651898;1
2024.0;antioquia;4612.272222222222;9;26503014533;564
2024.0;atlántico;10000.0;1;12650000;1
2024.0;caldas;10000.0;1;35000000;1
2024.0;cauca;10000.0;1;160275859;1
2024.0;cundinamarca;5132.895;2;1190473521;105
2024.0;distrito capital de bogotá;8802.342857142858;7;1847842713;14
2024.0;guaviare;1708.17;1;807065776;35
2024.0;huila;10000.0;1;11865000;1
2024.0;la guajira;219.67;1;1328684000;99
2024.0;meta;10000.0;3;91079545;3
2024.0;nariño;5173.05;1;7468491834;112
2024.0;quindío;5272.22;1;18000000;2
2024.0;risaralda;8626.673333333334;3;88155938;4
2024.0;santander;10000.0;2;17133333;2
2024.0;sucre;1230.43;1;7773678709;76
2025.0;antioquia;10000.0;8;1072258968;8
2025.0;arauca;10000.0;2;13008067;2
2025.0;atlántico;10000.0;1;4000000;1
2025.0;bolívar;7981.3533333333335;3;82200000;5
2025.0;boyacá;10000.0;6;138451126;6
2025.0;caldas;8410.096666666666;3;42562291;4
2025.0;casanare;8750.0;3;45571094;4
2025.0;cauca;7608.9775;4;223527738;8
2025.0;cesar;10000.0;2;49043520;2
2025.0;cundinamarca;10000.0;8;160894853;8
2025.0;córdoba;10000.0;1;27000000;1
2025.0;distrito capital de bogotá;8887.965517241379;29;26366374858;53
2025.0;huila;10000.0;6;90393610;6
2025.0;la guajira;9124.305;2;6456774195;3
2025.0;magdalena;10000.0;4;938656346;4
2025.0;meta;10000.0;4;37854000;4
2025.0;nariño;10000.0;7;257377000;7
2025.0;no definido;7500.0;2;63513100;3
2025.0;norte de santander;10000.0;2;16000000;2
2025.0;putumayo;10000.0;2;24928000;2
2025.0;risaralda;10000.0;2;54060000;2
2025.0;san andrés providencia y santa catalina;10000.0;1;3640000;1
2025.0;santander;9286.378571428571;7;157792130;8
2025.0;tolima;9334.797142857144;7;1446141052;8
2025.0;valle del cauca;9515.656666666668;9;899779000;10
2026.0;antioquia;10000.0;1;22141660;1
2026.0;atlántico;10000.0;2;90140000;2
2026.0;bogotá d.c.;10000.0;1;18489240;1
2026.0;bolívar;10000.0;1;33600000;1
2026.0;boyacá;10000.0;1;23674700;1
2026.0;cauca;10000.0;1;32400000;1
2026.0;cesar;10000.0;2;49005430;2
2026.0;cundinamarca;10000.0;2;25775600;2
2026.0;distrito capital de bogotá;10000.0;3;373461673;3
2026.0;magdalena;10000.0;1;7400000;1
2026.0;meta;10000.0;2;74000000;2
2026.0;nariño;10000.0;1;34400000;1
2026.0;no definido;10000.0;1;20125000;1
2026.0;norte de santander;10000.0;2;58950000;2
2026.0;quindío;10000.0;2;22000000;2
2026.0;risaralda;5838.03;1;37250000;2
2026.0;santander;10000.0;2;57620000;2
2026.0;valle del cauca;10000.0;1;25391352;1
2026.0;vichada;10000.0;1;9200000;1
