nombre_municipio;nombre_departamento;orden_entidad;HHI_Promedio;Suma_Inversion;Total_Contratos
la jagua del pilar;la guajira;TERRITORIAL;353.0657142857143;6668178898;658
toca;boyacá;TERRITORIAL;374.10999999999996;1584782540;283
villagómez;cundinamarca;TERRITORIAL;662.7785714285714;30389970471;998
junín;cundinamarca;TERRITORIAL;688.758;2897181554;428
sogamoso;boyacá;TERRITORIAL;733.2325000000001;3903087653;214
villeta;cundinamarca;TERRITORIAL;772.425;4081448398;315
paipa;boyacá;TERRITORIAL;876.4779999999998;8614404469;444
gómez plata;antioquia;TERRITORIAL;1012.2133333333334;18439499847;1121
girardota;antioquia;TERRITORIAL;1157.7086666666667;128791635533;2564
guadalupe;antioquia;TERRITORIAL;1672.6844444444444;29623227138;642
ipiales;nariño;TERRITORIAL;1731.146;525595003;80
san josé del guaviare;guaviare;TERRITORIAL;1736.7271428571428;7598245559;412
soacha;cundinamarca;TERRITORIAL;1743.718;17169437566;1464
frontino;antioquia;TERRITORIAL;1812.3305555555555;74149803421;1740
el roble;sucre;TERRITORIAL;2079.5042857142857;49410343963;298
fredonia;antioquia;TERRITORIAL;2294.43;49076542931;1059
nariño;nariño;TERRITORIAL;2323.9457142857145;32833501400;460
itagüí;antioquia;TERRITORIAL;2401.90875;5534558177;532
granada;antioquia;TERRITORIAL;2751.290833333333;212421964743;724
ibagué;tolima;TERRITORIAL;2956.0096000000003;133463757616;1893
pauna;boyacá;TERRITORIAL;2989.588;4732376630;224
giraldo;antioquia;TERRITORIAL;3331.5038461538466;23988851855;1131
villa garzón/villa amazonica;putumayo;TERRITORIAL;3588.3549999999996;1749201313;26
montería;córdoba;TERRITORIAL;3592.6800000000003;5175093755;98
bucaramanga;santander;TERRITORIAL;4237.163333333333;10794553132;810
cartagena;bolívar;TERRITORIAL;4328.37;42209165811;1680
no definido;cauca;TERRITORIAL;5000.94;14600000;2
la dorada;caldas;TERRITORIAL;5230.29;25550000;2
melgar;tolima;TERRITORIAL;5343.58;25750000;2
popayán;cauca;TERRITORIAL;5434.97;181081300;4
tunja;boyacá;TERRITORIAL;6024.4857142857145;145745661;21
hispania;antioquia;TERRITORIAL;6135.8099999999995;8051349;33
medellín;antioquia;TERRITORIAL;6186.362;3573257652;52
yopal;casanare;TERRITORIAL;6250.0;13333333;2
armenia;quindío;TERRITORIAL;7636.110000000001;27600000;3
pereira;risaralda;TERRITORIAL;7929.5125;125405938;6
no definido;distrito capital de bogotá;TERRITORIAL;8020.93125;900967469;22
riohacha;la guajira;TERRITORIAL;8312.1975;7107573053;6
no definido;no definido;TERRITORIAL;8333.333333333334;83638100;4
bogotá;distrito capital de bogotá;NACIONAL;8650.009444444446;21569697549;29
bogotá;distrito capital de bogotá;TERRITORIAL;9246.421666666667;5163116844;20
cali;valle del cauca;TERRITORIAL;9273.485;133714000;7
no definido;distrito capital de bogotá;NACIONAL;9597.982857142857;4594809226;8
campo de la cruz;atlántico;TERRITORIAL;10000.0;4000000;1
cartagena;bolívar;NACIONAL;10000.0;8500000;1
cuaspud/carlosama;nariño;TERRITORIAL;10000.0;3900000;1
buriticá;antioquia;TERRITORIAL;10000.0;85760319;1
cali;valle del cauca;NACIONAL;10000.0;775391352;2
el banco;magdalena;TERRITORIAL;10000.0;7000000;1
el bagre;antioquia;NACIONAL;10000.0;27001100;1
cúcuta;norte de santander;TERRITORIAL;10000.0;8000000;1
cuítiva;boyacá;TERRITORIAL;10000.0;4106684;1
cubarral;meta;TERRITORIAL;10000.0;4000000;1
bucaramanga;santander;NACIONAL;10000.0;47568750;2
apía;risaralda;TERRITORIAL;10000.0;21160000;1
aguazul;casanare;TERRITORIAL;10000.0;8000000;1
astrea;cesar;TERRITORIAL;10000.0;39800000;1
arauquita;arauca;TERRITORIAL;10000.0;5640000;1
arauca;arauca;TERRITORIAL;10000.0;7368067;1
barbacoas;nariño;TERRITORIAL;10000.0;4500000;1
betéitiva;boyacá;TERRITORIAL;10000.0;5800000;1
barranquilla;atlántico;TERRITORIAL;10000.0;61650000;2
corinto;cauca;TERRITORIAL;10000.0;20000000;1
casabianca;tolima;TERRITORIAL;10000.0;5400000;1
manizales;caldas;TERRITORIAL;10000.0;35000000;1
manizales;caldas;NACIONAL;10000.0;9812291;1
magüi;nariño;TERRITORIAL;10000.0;5400000;1
liborina;antioquia;TERRITORIAL;10000.0;397956000;1
la estrella;antioquia;TERRITORIAL;10000.0;22141660;1
la calera;cundinamarca;TERRITORIAL;10000.0;27572300;1
guarne;antioquia;TERRITORIAL;10000.0;64950000;4
iles;nariño;TERRITORIAL;10000.0;225500000;1
garzón;huila;NACIONAL;10000.0;45995110;1
gachala;cundinamarca;TERRITORIAL;10000.0;17290000;1
fundación;magdalena;TERRITORIAL;10000.0;3500000;1
floridablanca;santander;TERRITORIAL;10000.0;10800000;1
girardot;cundinamarca;TERRITORIAL;10000.0;6210000;1
garzón;huila;TERRITORIAL;10000.0;4000000;1
granada;cundinamarca;TERRITORIAL;10000.0;28500332;1
guamo;tolima;TERRITORIAL;10000.0;33000000;1
el carmen de chucurí;santander;TERRITORIAL;10000.0;28620000;1
bogotá d.c.;bogotá d.c.;TERRITORIAL;10000.0;18489240;1
buenaventura;valle del cauca;TERRITORIAL;10000.0;10815000;1
buesaco;nariño;TERRITORIAL;10000.0;2100000;1
no definido;tolima;TERRITORIAL;10000.0;15000000;1
no definido;norte de santander;TERRITORIAL;10000.0;49500000;1
no definido;santander;TERRITORIAL;10000.0;14253333;2
no definido;santander;NACIONAL;10000.0;40551041;1
no definido;nariño;TERRITORIAL;10000.0;34400000;1
no definido;meta;NACIONAL;10000.0;9270000;1
no definido;huila;TERRITORIAL;10000.0;37408000;3
no definido;antioquia;TERRITORIAL;10000.0;48329217;1
neiva;huila;TERRITORIAL;10000.0;9922500;1
mosquera;cundinamarca;TERRITORIAL;10000.0;8800000;1
medellín;antioquia;NACIONAL;10000.0;29524370;2
