nombre_departamento,nombre_municipio,divipola_municipio,necesidades_basicas_insatisfechas_por_categorias_%_prop_de_personas_en_nbi_(%),ipm_total,monto_total_contratos
ANTIOQUIA,MEDELLÍN,05001,5.230398664972173,12.8,1714616672.0
ANTIOQUIA,ABEJORRAL,05002,13.958914243441644,40.6,0.0
ANTIOQUIA,ABRIAQUÍ,05004,11.630079402148528,34.8,0.0
ANTIOQUIA,ALEJANDRÍA,05021,12.676424464192367,31.9,0.0
ANTIOQUIA,AMAGÁ,05030,9.663881290515981,22.9,0.0
ANTIOQUIA,AMALFI,05031,22.377240454793704,43.3,0.0
ANTIOQUIA,ANDES,05034,12.288330137467254,40.1,0.0
ANTIOQUIA,ANGELÓPOLIS,05036,13.026132056652703,30.7,0.0
ANTIOQUIA,ANGOSTURA,05038,20.523809523809526,53.8,0.0
ANTIOQUIA,ANORÍ,05040,27.996131795261448,53.3,0.0
ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,05042,14.129582861621527,29.7,0.0
ANTIOQUIA,ANZA,05044,16.332602568117757,47.1,130000000.0
ANTIOQUIA,APARTADÓ,05045,14.6740097512367,28.0,0.0
ANTIOQUIA,ARBOLETES,05051,62.48715704554968,59.1,28100000.0
ANTIOQUIA,ARGELIA,05055,17.13946234962127,48.7,0.0
ANTIOQUIA,ARMENIA,05059,8.357348703170029,37.7,0.0
ANTIOQUIA,BARBOSA,05079,7.012393267743888,22.2,150000000.0
ANTIOQUIA,BELMIRA,05086,13.385679566274069,40.8,0.0
ANTIOQUIA,BELLO,05088,5.575304609973621,14.2,0.0
ANTIOQUIA,BETANIA,05091,16.21841890790546,53.6,0.0
ANTIOQUIA,BETULIA,05093,17.180967549273344,53.1,0.0
ANTIOQUIA,CIUDAD BOLÍVAR,05101,11.847006843974704,40.4,0.0
ANTIOQUIA,BRICEÑO,05107,25.664312142616886,55.4,0.0
ANTIOQUIA,BURITICÁ,05113,29.139522258414768,51.3,0.0
ANTIOQUIA,CÁCERES,05120,49.831546707503826,66.4,0.0
ANTIOQUIA,CAICEDO,05125,18.617248752672843,54.6,0.0
ANTIOQUIA,CALDAS,05129,5.473141066986087,16.0,0.0
ANTIOQUIA,CAMPAMENTO,05134,24.641988651715753,59.3,0.0
ANTIOQUIA,CAÑASGORDAS,05138,22.79162365432827,45.3,0.0
ANTIOQUIA,CARACOLÍ,05142,12.13653603034134,35.9,0.0
ANTIOQUIA,CARAMANTA,05145,8.924806746310612,30.5,0.0
ANTIOQUIA,CAREPA,05147,20.98233995584989,34.4,0.0
ANTIOQUIA,EL CARMEN DE VIBORAL,05148,5.846360482035593,18.5,0.0
ANTIOQUIA,CAROLINA,05150,6.234939759036145,20.4,0.0
ANTIOQUIA,CAUCASIA,05154,22.10421624693638,36.0,0.0
ANTIOQUIA,CHIGORODÓ,05172,21.194067461031715,37.7,0.0
ANTIOQUIA,CISNEROS,05190,13.238105949836914,28.8,0.0
ANTIOQUIA,COCORNÁ,05197,14.310004760933143,42.9,0.0
ANTIOQUIA,CONCEPCIÓN,05206,12.483978467059728,33.0,0.0
ANTIOQUIA,CONCORDIA,05209,18.539500715931023,48.5,0.0
ANTIOQUIA,COPACABANA,05212,3.8079339625121587,11.6,0.0
ANTIOQUIA,DABEIBA,05234,47.26166328600406,60.5,0.0
ANTIOQUIA,DON MATÍAS,05237,6.100402457106545,19.7,0.0
ANTIOQUIA,EBÉJICO,05240,13.891310665504214,39.1,0.0
ANTIOQUIA,EL BAGRE,05250,35.6179940692759,53.7,0.0
ANTIOQUIA,ENTRERRIOS,05264,7.028135322929718,23.1,0.0
ANTIOQUIA,ENVIGADO,05266,2.067045443802645,4.9,0.0
ANTIOQUIA,FREDONIA,05282,11.128894579598805,31.6,0.0
ANTIOQUIA,FRONTINO,05284,34.09576848490876,51.3,0.0
ANTIOQUIA,GIRALDO,05306,15.36484081471228,33.4,0.0
ANTIOQUIA,GIRARDOTA,05308,5.050714137859656,13.9,0.0
ANTIOQUIA,GÓMEZ PLATA,05310,10.39941548952752,34.1,0.0
ANTIOQUIA,GRANADA,05313,11.039878300554166,33.4,0.0
ANTIOQUIA,GUADALUPE,05315,15.315480557593544,41.1,0.0
ANTIOQUIA,GUARNE,05318,6.214017224151877,17.0,0.0
ANTIOQUIA,GUATAPÉ,05321,4.358388110888825,11.4,0.0
ANTIOQUIA,HELICONIA,05347,12.423019749416012,37.5,0.0
ANTIOQUIA,HISPANIA,05353,12.121212121212121,36.9,0.0
ANTIOQUIA,ITAGUI,05360,3.946462978254886,10.9,0.0
ANTIOQUIA,ITUANGO,05361,35.71002548392344,57.6,0.0
ANTIOQUIA,JARDÍN,05364,9.78963799895934,28.5,0.0
ANTIOQUIA,JERICÓ,05368,9.053050878145935,25.8,0.0
ANTIOQUIA,LA CEJA,05376,4.109752156088931,11.5,0.0
ANTIOQUIA,LA ESTRELLA,05380,3.5133279603593923,9.2,0.0
ANTIOQUIA,LA PINTADA,05390,12.854276398294457,31.2,0.0
ANTIOQUIA,LA UNIÓN,05400,6.66891696402739,23.0,0.0
ANTIOQUIA,LIBORINA,05411,13.857251328777524,43.3,0.0
ANTIOQUIA,MACEO,05425,13.178826110806364,36.0,711500000.0
ANTIOQUIA,MARINILLA,05440,5.091896785875962,15.4,0.0
ANTIOQUIA,MONTEBELLO,05467,15.524570651249787,39.5,0.0
ANTIOQUIA,MURINDÓ,05475,81.73201206376562,81.5,0.0
ANTIOQUIA,MUTATÁ,05480,43.36613235994287,57.8,0.0
ANTIOQUIA,NARIÑO,05483,15.641353645772764,51.8,0.0
ANTIOQUIA,NECOCLÍ,05490,57.62883914627798,62.7,0.0
ANTIOQUIA,NECHÍ,05495,54.344569288389515,61.5,0.0
ANTIOQUIA,OLAYA,05501,12.0264803236484,33.4,0.0
ANTIOQUIA,PEÑOL,05541,6.857079350966882,20.0,0.0
ANTIOQUIA,PEQUE,05543,27.363114409746533,53.5,0.0
ANTIOQUIA,PUEBLORRICO,05576,15.856706470424882,45.7,0.0
ANTIOQUIA,PUERTO BERRÍO,05579,13.766030566343494,32.1,0.0
ANTIOQUIA,PUERTO NARE,05585,13.75443225859652,33.1,0.0
ANTIOQUIA,PUERTO TRIUNFO,05591,13.150419625564881,29.3,0.0
ANTIOQUIA,REMEDIOS,05604,22.203472623118255,42.1,0.0
ANTIOQUIA,RETIRO,05607,4.609101516919487,11.7,0.0
ANTIOQUIA,RIONEGRO,05615,5.1980391986138565,9.5,0.0
ANTIOQUIA,SABANALARGA,05628,27.569435556124407,52.8,0.0
ANTIOQUIA,SABANETA,05631,1.5913267181183388,4.5,0.0
ANTIOQUIA,SALGAR,05642,16.593553309174137,49.7,0.0
ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,05647,24.54328832406672,48.5,0.0
ANTIOQUIA,SAN CARLOS,05649,12.071244694914075,30.5,0.0
ANTIOQUIA,SAN FRANCISCO,05652,19.797051502967644,46.4,0.0
ANTIOQUIA,SAN JERÓNIMO,05656,13.2871392674941,30.5,0.0
ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA,05658,10.230352303523036,34.0,0.0
ANTIOQUIA,SAN JUAN DE URABÁ,05659,59.82392957182873,61.1,0.0
ANTIOQUIA,SAN LUIS,05660,12.992161455987025,32.4,0.0
ANTIOQUIA,SAN PEDRO,05664,6.668625146886017,19.5,0.0
ANTIOQUIA,SAN PEDRO DE URABA,05665,66.14222990952635,62.3,0.0
ANTIOQUIA,SAN RAFAEL,05667,11.117305088795094,36.8,0.0
ANTIOQUIA,SAN ROQUE,05670,14.845070422535212,40.8,0.0
ANTIOQUIA,SAN VICENTE,05674,10.974592761438817,27.8,0.0
ANTIOQUIA,SANTA BÁRBARA,05679,9.814068510716249,28.1,0.0
ANTIOQUIA,SANTA ROSA DE OSOS,05686,9.225700164744646,30.9,0.0
ANTIOQUIA,SANTO DOMINGO,05690,11.544117647058824,41.5,0.0
ANTIOQUIA,EL SANTUARIO,05697,6.795570980003305,22.0,0.0
ANTIOQUIA,SEGOVIA,05736,23.14920444311018,42.8,0.0
ANTIOQUIA,SONSON,05756,13.235014874359136,37.9,0.0
ANTIOQUIA,SOPETRÁN,05761,11.306441024144723,28.7,0.0
ANTIOQUIA,TÁMESIS,05789,12.407182395031727,36.6,0.0
ANTIOQUIA,TARAZÁ,05790,32.41673632803907,53.5,0.0
ANTIOQUIA,TARSO,05792,16.24158696422246,42.6,0.0
ANTIOQUIA,TITIRIBÍ,05809,11.2238659982883,30.3,0.0
ANTIOQUIA,TOLEDO,05819,23.91304347826087,53.5,0.0
ANTIOQUIA,TURBO,05837,39.15000175112948,49.9,0.0
ANTIOQUIA,URAMITA,05842,27.10409320864633,55.6,0.0
ANTIOQUIA,URRAO,05847,24.452529452529454,46.1,0.0
ANTIOQUIA,VALDIVIA,05854,26.97419859265051,59.3,0.0
ANTIOQUIA,VALPARAÍSO,05856,8.88437384558552,25.9,0.0
ANTIOQUIA,VEGACHÍ,05858,22.031614873360876,41.0,0.0
ANTIOQUIA,VENECIA,05861,9.62723803933079,25.8,0.0
ANTIOQUIA,VIGÍA DEL FUERTE,05873,78.25498400196899,76.1,0.0
ANTIOQUIA,YALÍ,05885,21.783766442091753,44.0,0.0
ANTIOQUIA,YARUMAL,05887,11.751576362926176,33.8,0.0
ANTIOQUIA,YOLOMBÓ,05890,16.11948189267777,45.0,0.0
ANTIOQUIA,YONDÓ,05893,26.010404161664667,46.3,0.0
ANTIOQUIA,ZARAGOZA,05895,45.77166140029935,58.0,0.0
ATLÁNTICO,BARRANQUILLA,08001,9.102008982599575,17.4,0.0
ATLÁNTICO,BARANOA,08078,14.277577059531946,33.5,0.0
ATLÁNTICO,CAMPO DE LA CRUZ,08137,34.98027181060938,64.6,0.0
ATLÁNTICO,CANDELARIA,08141,32.96014330497089,52.0,0.0
ATLÁNTICO,GALAPA,08296,13.652888355691278,23.8,0.0
ATLÁNTICO,JUAN DE ACOSTA,08372,17.845761631612493,36.7,0.0
ATLÁNTICO,LURUACO,08421,24.834520924512606,55.4,0.0
ATLÁNTICO,MALAMBO,08433,12.915190803983158,30.0,0.0
ATLÁNTICO,MANATÍ,08436,23.865231633130556,48.4,0.0
ATLÁNTICO,PALMAR DE VARELA,08520,18.16369476132462,36.0,0.0
ATLÁNTICO,PIOJÓ,08549,20.51100070972321,45.2,0.0
ATLÁNTICO,POLONUEVO,08558,13.334566302940633,30.5,0.0
ATLÁNTICO,PONEDERA,08560,23.21459080813258,46.7,0.0
ATLÁNTICO,PUERTO COLOMBIA,08573,9.170122743077375,14.4,0.0
ATLÁNTICO,REPELÓN,08606,29.53233596418895,54.6,0.0
ATLÁNTICO,SABANAGRANDE,08634,16.332718577099808,31.9,0.0
ATLÁNTICO,SABANALARGA,08638,18.143103280127434,36.5,0.0
ATLÁNTICO,SANTA LUCÍA,08675,33.09090909090909,47.2,0.0
ATLÁNTICO,SANTO TOMÁS,08685,14.789593155229614,25.8,0.0
ATLÁNTICO,SOLEDAD,08758,8.025927910402341,18.6,0.0
ATLÁNTICO,SUAN,08770,18.273455673300596,43.8,0.0
ATLÁNTICO,TUBARÁ,08832,16.13461236043403,32.8,0.0
ATLÁNTICO,USIACURÍ,08849,13.601592790527087,32.7,0.0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",11001,3.471188356173964,9.0,18999767953.0
BOLÍVAR,CARTAGENA,13001,12.489537193298375,19.9,0.0
BOLÍVAR,ACHÍ,13006,55.916030534351144,62.4,0.0
BOLÍVAR,ALTOS DEL ROSARIO,13030,58.452658452658454,70.7,0.0
BOLÍVAR,ARENAL,13042,36.26726182173246,62.0,0.0
BOLÍVAR,ARJONA,13052,26.983606557377048,47.4,0.0
BOLÍVAR,ARROYOHONDO,13062,41.87143211715066,68.4,0.0
BOLÍVAR,BARRANCO DE LOBA,13074,47.01073779009352,68.9,0.0
BOLÍVAR,CALAMAR,13140,40.80263039365823,62.5,0.0
BOLÍVAR,CANTAGALLO,13160,39.35117835321501,50.6,0.0
BOLÍVAR,CICUCO,13188,33.9405487804878,61.3,0.0
BOLÍVAR,CÓRDOBA,13212,29.949306296691567,61.9,0.0
BOLÍVAR,CLEMENCIA,13222,84.94320237320021,63.0,0.0
BOLÍVAR,EL CARMEN DE BOLÍVAR,13244,41.54595108050344,58.4,0.0
BOLÍVAR,EL GUAMO,13248,29.398295382266888,59.5,0.0
BOLÍVAR,EL PEÑÓN,13268,47.871163948023224,67.7,0.0
BOLÍVAR,HATILLO DE LOBA,13300,50.45029736618522,73.8,0.0
BOLÍVAR,MAGANGUÉ,13430,26.45072212503236,49.1,0.0
BOLÍVAR,MAHATES,13433,28.63960887785193,54.3,0.0
BOLÍVAR,MARGARITA,13440,36.69753086419753,65.6,0.0
BOLÍVAR,MARÍA LA BAJA,13442,46.59870700116944,63.2,0.0
BOLÍVAR,MONTECRISTO,13458,63.11061618411284,70.1,0.0
BOLÍVAR,MOMPÓS,13468,29.197620866023282,49.1,0.0
BOLÍVAR,MORALES,13473,58.68936716993254,57.6,0.0
BOLÍVAR,NOROSÍ,13490,66.32860040567951,66.2,0.0
BOLÍVAR,PINILLOS,13549,62.36669664653733,67.5,0.0
BOLÍVAR,REGIDOR,13580,27.010309278350515,48.9,0.0
BOLÍVAR,RÍO VIEJO ,13600,43.53230769230769,57.3,0.0
BOLÍVAR,SAN CRISTÓBAL,13620,25.596994902066005,49.9,0.0
BOLÍVAR,SAN ESTANISLAO,13647,32.85506719941882,50.7,0.0
BOLÍVAR,SAN FERNANDO,13650,40.73240589198036,64.3,0.0
BOLÍVAR,SAN JACINTO,13654,93.44401511613096,60.3,0.0
BOLÍVAR,SAN JACINTO DEL CAUCA,13655,65.04517885876965,66.7,0.0
BOLÍVAR,SAN JUAN NEPOMUCENO,13657,38.39094092398057,56.2,0.0
BOLÍVAR,SAN MARTÍN DE LOBA,13667,45.589959313150814,60.6,0.0
BOLÍVAR,SAN PABLO,13670,39.074225122349105,54.0,0.0
BOLÍVAR,SANTA CATALINA,13673,57.78189329724339,54.8,0.0
BOLÍVAR,SANTA ROSA,13683,70.91156462585035,54.3,0.0
BOLÍVAR,SANTA ROSA DEL SUR,13688,28.056736548893124,43.6,0.0
BOLÍVAR,SIMITÍ,13744,34.59119496855346,54.8,0.0
BOLÍVAR,SOPLAVIENTO,13760,28.289974964623926,39.4,0.0
